month,meanHumidity,meanPressure,windSpeed,windDirection,PAR,seaSurfaceTemp,maxTide,minTide,salinity
2013-01-01,79.86,1012.1,5.47,51.8,50.84,26.27,1.25,0.28,35.5
2013-02-01,77.34,1011.89,3.83,71.58,51.48,26.27,1.27,0.26,35.13
2013-03-01,79.75,1013.48,6.22,54.58,36.19,26.57,1.3,0.27,35.62
2013-04-01,79.25,1015.67,5.37,70.64,35.78,24.82,1.28,0.29,35.67
2013-05-01,76.4,1016.32,4.88,66.01,27.58,24.05,1.25,0.26,35.77
2013-06-01,81.65,1017.4,3.73,71.94,21.69,22.37,1.25,0.25,35.41
2013-07-01,79.34,1020.16,5.27,79.75,25.69,20.73,1.25,0.29,34.45
2013-08-01,75.15,1018.84,4.38,90.27,31.2,18.85,1.28,0.29,32.74
2013-09-01,76.7,1017.23,5.48,74.55,33.23,21.05,1.32,0.29,32.32
2013-10-01,77.88,1015.74,5.91,56.02,38.72,21.79,1.3,0.31,33.13
2013-11-01,77.18,1012.97,5.78,56.62,46.23,22.89,1.27,0.3,35.22
2013-12-01,76.18,1010.23,3.97,72.88,52.86,25.3,1.25,0.26,35.24
2014-01-01,72.76,1012.45,4.06,45.42,60.23,28.73,1.26,0.24,35.45
2014-02-01,73.86,1012.07,3.87,42.54,50.46,28.09,1.28,0.29,35.47
2014-03-01,78.24,1013.32,4.28,46.75,43.7,27.1,1.3,0.25,35.36
2014-04-01,78.97,1015.63,4.69,60.59,34.91,26.11,1.28,0.28,35.31
2014-05-01,78.76,1016.48,5.14,79.75,26.3,23.89,1.27,0.28,35.54
2014-06-01,80.35,1017.87,4.3,68.8,22.5,22.2,1.25,0.26,35.8
2014-07-01,79.39,1021.35,6.95,54.38,24.77,21.6,1.26,0.25,35.44
2014-08-01,78.08,1019.42,5.24,60.67,31.83,21.63,1.29,0.28,35.45
2014-09-01,79.89,1016.4,4.65,69.59,35.35,22.09,1.31,0.28,35.75
2014-10-01,76.87,1016.48,5.15,52.22,43.65,22.96,1.3,0.29,35.7
2014-11-01,80.17,1012.93,5.1,50.26,49.25,23.7,1.27,0.29,35.64
2014-12-01,77.54,1011.84,3.06,63.66,50.3,24.86,1.23,0.28,35.79
2015-01-01,76.98,1012.71,3.01,72.92,55.98,28.68,1.25,0.27,35.77
2015-02-01,82.48,1011.61,4.51,60.84,49.11,28.47,1.27,0.29,35.36
2015-03-01,82.02,1013.16,4.68,57.67,40.48,27.27,1.27,0.28,35.33
2015-04-01,82.22,1015.2,6.64,58.47,34.49,25.12,1.28,0.28,35.62
2015-05-01,81.45,1017.35,6.14,58.94,26.85,23.91,1.28,0.34,35.54
2015-06-01,76.8,1020.07,5.99,46.28,26.65,23.27,1.14,0.38,36.12
2015-07-01,75.03,1018.48,4.87,67.91,23.88,21.81,1.28,0.25,36.56
2015-08-01,73.47,1018.06,4.88,40.59,34.65,22.51,1.3,0.28,35.86
2015-09-01,77.68,1014.37,4.84,60.52,32.15,22.49,1.32,0.27,35.68
2015-10-01,79.68,1015.32,6.52,47.57,33.55,23.24,1.31,0.31,35.46
2015-11-01,81.5,1011.77,6.94,42.87,37.79,24.65,1.28,0.3,34.19
2015-12-01,77.36,1011.71,6.18,44.73,45.76,25.52,1.25,0.29,34.96
2016-01-01,81.13,1011.48,4.88,44.82,46.37,25.22,1.25,0.28,35.35
2016-02-01,75.17,1012.21,3.05,60.57,52.22,28.2,1.28,0.27,35.24
2016-03-01,81.87,1014.06,4.71,53.85,44.12,27.24,1.25,0.28,35.42
2016-04-01,79.87,1014.17,3.36,35.75,40.44,28.02,1.29,0.27,35.11
2016-05-01,83.61,1018.26,7.08,66.32,23.92,23.35,1.27,0.26,34.97
2016-06-01,88.05,1021.63,4.47,115.28,21.06,19.06,1.25,0.26,31.93
2016-07-01,81.81,1019.45,4.08,67.71,23.68,19.12,1.27,0.26,29.7
2016-08-01,84.13,1018.06,4.63,74.42,28.22,19.58,1.28,0.25,31.74
2016-09-01,83.27,1017.97,5.57,78.91,34.51,21.38,1.32,0.28,33.17
2016-10-01,83.87,1014.48,8.53,37.9,42.72,22.66,1.33,0.29,32.77
2016-11-01,84.37,1013.43,6.89,61.5,40.1,24.05,1.29,0.29,34
2016-12-01,79.76,1011.65,6.76,78.49,55.24,26.16,1.27,0.27,34.24
2017-01-01,83.26,1011.55,6.25,64.42,43.28,28.64,1.26,0.26,33.78
2017-02-01,80.13,1012.07,5.27,60.12,53.57,28.07,1.27,0.25,35.07
2017-03-01,82.49,1013.81,5.58,70.69,46.75,26.67,1.3,0.26,35.86
2017-04-01,83.92,1015.87,7.8,44.63,30.74,25.44,1.28,0.3,35.51
2017-05-01,76.58,1016.68,9.85,29.16,29.2,22.54,1.27,0.28,36.62
2017-06-01,68.69,1019.13,4.73,63.61,25.54,21.82,1.25,0.28,36.57
2017-07-01,67.74,1024.42,4.07,79.62,30.88,21.61,1.25,0.28,36.44
2017-08-01,70.45,1018.71,7.88,74.74,27.16,20.64,1.29,0.28,36.28
2017-09-01,70.5,1018.67,7.06,34.54,42.48,22,1.32,0.26,36.14
2017-10-01,76.58,1013.65,4.76,80.53,40.74,22.99,1.32,0.28,35.99
2017-11-01,80.1,1012.27,7.92,57.04,46.95,22.65,1.31,0.29,35.98
2017-12-01,83.15,1011.23,7.65,13.43,44.72,22.65,1.28,0.27,36.41
